group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score
Sade_(Smooth_Operator),10,27.889,6.551,29.533,5.375,0.8468,0.0785,0.5642,0.5385,0.8468,61.05
Billig_jeans_(feat__Linni),10,26.689,5.248,29.911,4.512,0.7769,0.0914,0.583,0.5326,0.7769,60.16
One_More_Time,10,28.489,6.434,29.133,4.176,0.775,0.0816,0.5549,0.5448,0.775,59.49
Smells_Like_Teen_Spirit,10,27.622,8.397,30.711,4.093,0.7821,0.0787,0.5684,0.5201,0.7821,59.18
Blinding_Lights,10,30.356,4.184,30.044,4.622,0.8023,0.1135,0.5257,0.5306,0.8023,58.3
Papaoutai,10,28.867,5.442,30.689,3.777,0.7684,0.0862,0.549,0.5205,0.7684,58.15
Jolene_(feat__Dolly_Parton),10,28.267,5.754,30.289,4.373,0.677,0.0816,0.5583,0.5267,0.677,56.94
Walking_On_Sunshine,10,26.667,4.899,29.756,5.245,0.5677,0.1553,0.5833,0.5351,0.5677,56.09
The_4_Seasons_(Spring)_I__Allegro,10,29.267,5.512,30.644,4.518,0.636,0.1111,0.5427,0.5212,0.636,55.28
Claude_Debussy__Clair_de_Lune,10,29.489,4.911,30.178,3.973,0.5318,0.1752,0.5392,0.5285,0.5318,53.34
ALL,100,28.899,5.726,30.32,4.574,0.6625,0.1628,0.5485,0.5262,0.6625,56.24
