group,n_images,ahash_mean_hamming,ahash_sd,dhash_mean_hamming,dhash_sd,palette_cosine_mean,palette_cosine_sd,ahash_similarity,dhash_similarity,palette_similarity,repeatability_score,phash_mean_hamming,phash_sd,phash_similarity,baseline_group,baseline_score,lift,lift_pct
Billig_jeans_(feat__Linni),10,26.222,5.049,28.311,4.532,0.8672,0.046,0.5903,0.5576,0.8672,60.42,30.4,4.788,0.525,ALL,53.550000,6.870000,12.83%
Papaoutai,10,25.733,4.835,30.067,4.919,0.7471,0.0684,0.5979,0.5302,0.7471,58.91,29.222,3.925,0.5434,ALL,53.550000,5.360000,10.01%
The_4_Seasons_(Spring)_I__Allegro,10,28.489,5.048,30.4,4.555,0.8124,0.0788,0.5549,0.525,0.8124,57.7,30.333,3.896,0.526,ALL,53.550000,4.150000,7.75%
Smells_Like_Teen_Spirit,10,30.378,5.921,32.444,4.59,0.8755,0.0481,0.5253,0.4931,0.8755,56.46,31.244,4.618,0.5118,ALL,53.550000,2.910000,5.43%
Walking_On_Sunshine,10,29.4,4.712,30.756,4.437,0.7426,0.1171,0.5406,0.5194,0.7426,55.89,30.756,4.281,0.5194,ALL,53.550000,2.340000,4.37%
Blinding_Lights,10,29.689,5.969,30.6,5.618,0.7339,0.1032,0.5361,0.5219,0.7339,55.66,30.756,4.018,0.5194,ALL,53.550000,2.110000,3.94%
Claude_Debussy__Clair_de_Lune,10,30.844,5.054,30.889,4.691,0.788,0.0876,0.5181,0.5174,0.788,55.63,30.889,4.001,0.5174,ALL,53.550000,2.080000,3.88%
Sade_(Smooth_Operator),10,29.844,4.512,31.556,3.314,0.6724,0.1184,0.5337,0.5069,0.6724,53.93,31.733,3.374,0.5042,ALL,53.550000,0.380000,0.71%
One_More_Time,10,31.022,3.428,31.333,4.056,0.6131,0.1844,0.5153,0.5104,0.6131,52.89,30.867,4.11,0.5177,ALL,53.550000,-0.660000,-1.23%
Jolene_(feat__Dolly_Parton),10,31.711,4.645,31.711,4.911,0.6819,0.1036,0.5045,0.5045,0.6819,52.67,32.422,4.037,0.4934,ALL,53.550000,-0.880000,-1.64%
